"entidad","municipio","causa","total_hectareas","fecha_termino"
"Puebla","Xiutetelco","Intencional",117,2016-02-23
"Puebla","Huauchinango","Intencional",10,2016-02-23
"Puebla","Tlahuapan","Cazadores",9,2016-02-23
"Puebla","Tehuacán","Fogatas",1.5,2016-02-23
"Puebla","Zacatlán","Otras causas",3.4,2016-02-24
"Puebla","San Nicolás de los Ranchos","Actividades agropecuarias",9.4,2016-02-24
"Puebla","Amozoc","Intencional",1.25,2016-02-24
"Puebla","Tlachichuca","Intencional",31,2016-02-24
"Puebla","Puebla","Actividades agropecuarias",0.75,2016-02-24
"Puebla","Tlachichuca","Intencional",0.5,2016-02-25
"Puebla","San Salvador el Seco","Fogatas",9.69,2016-02-25
"Puebla","Amozoc","Otras causas",15.7,2016-02-25
"Puebla","Libres","Actividades agropecuarias",1,2016-02-25
"Puebla","San Pablo Anicano","Actividades agropecuarias",1,2016-02-25
"Puebla","Ixtacamaxtitlán","Intencional",12.9,2016-02-28
"Puebla","San Salvador el Seco","Actividades agropecuarias",64.4,2016-02-26
"Puebla","Lafragua","Quema de basureros",2,2016-02-26
"Puebla","San Diego la Mesa Tochimiltzingo","Otras causas",0.15,2016-02-27
"Puebla","Amozoc","Actividades agropecuarias",6,2016-02-27
"Puebla","Quimixtlán","Actividades agropecuarias",1.9,2016-02-28
"Puebla","San Salvador el Seco","Intencional",1,2016-02-28
"Puebla","San Salvador el Verde","Actividades agropecuarias",1,2016-02-28
"Puebla","Tepatlaxco de Hidalgo","Intencional",1,2016-02-28
"Puebla","San Nicolás de los Ranchos","Intencional",1.9,2016-02-29
"Puebla","Zacatlán","Otras causas",0.8,2016-02-29
"Puebla","Cohetzala","Intencional",50.7,2016-02-21
"Puebla","Tetela de Ocampo","Otras causas",129,2016-03-02
"Puebla","Chalchicomula de Sesma","Fogatas",16.7,2016-03-06
"Puebla","Ahuazotepec","Intencional",0.75,2016-03-06
"Puebla","Ahuazotepec","Otras causas",1,2016-03-07
"Puebla","Zacatlán","Otras causas",0.19,2016-03-07
"Puebla","Chiautzingo","Actividades agropecuarias",1.25,2016-03-07
"Puebla","Atzitzintla","Fogatas",11,2016-03-08
"Puebla","Zacatlán","Intencional",20,2016-03-08
"Puebla","Chignautla","Actividades agropecuarias",29.65,2016-03-09
"Puebla","Huauchinango","Naturales",3.9,2016-03-09
"Puebla","Lafragua","Intencional",3,2016-03-09
"Puebla","Huauchinango","Intencional",2.5,2016-03-09
"Puebla","Cuyoaco","Naturales",4.75,2016-03-11
"Puebla","Ahuazotepec","Intencional",1.85,2016-03-10
"Puebla","Huauchinango","Otras causas",2,2016-03-11
"Puebla","Tetela de Ocampo","Otras causas",25.5,2016-03-14
"Puebla","Tlatlauquitepec","Otras causas",18.3,2016-03-14
"Puebla","Tlahuapan","Actividades agropecuarias",8.5,2016-03-13
"Puebla","Atzitzintla","Actividades agropecuarias",2.54,2016-03-14
"Puebla","Guadalupe Victoria","Actividades agropecuarias",4,2016-03-14
"Puebla","Tianguismanalco","Intencional",3.75,2016-03-14
"Puebla","Zacapoaxtla","Naturales",11.6,2016-03-15
"Puebla","Jonotla","Intencional",5,2016-03-15
"Puebla","Zoquiapan","Actividades agropecuarias",19.98,2016-03-16
"Puebla","Tlatlauquitepec","Intencional",25,2016-03-16
"Puebla","Tlatlauquitepec","Intencional",27.8,2016-03-18
"Puebla","Zongozotla","Fogatas",178.2,2016-03-17
"Puebla","Lafragua","Actividades agropecuarias",0.5,2016-03-15
"Puebla","Tetela de Ocampo","Actividades agropecuarias",5,2016-03-16
"Puebla","Tlachichuca","Otras causas",7.5,2016-03-16
"Puebla","Tlaola","Intencional",8,2016-03-16
"Puebla","Puebla","Intencional",0.5,2016-03-16
"Puebla","Lafragua","Actividades agropecuarias",1,2016-03-16
"Puebla","Chignautla","Intencional",1,2016-03-17
"Puebla","Tlatlauquitepec","Actividades agropecuarias",1.05,2016-03-17
"Puebla","Lafragua","Intencional",2,2016-03-17
"Puebla","Tlachichuca","Actividades agropecuarias",2.65,2016-03-17
"Puebla","Tlachichuca","Intencional",0.6,2016-03-18
"Puebla","San Nicolás de los Ranchos","Actividades agropecuarias",0.5,2016-03-18
"Puebla","Puebla","Intencional",0.5,2016-03-18
"Puebla","Atzitzintla","Intencional",6,2016-03-18
