"entidad","tipo_de_fuente","pm_25","co","so2","nox"
"Puebla","Fuentes fijas",19.296,4.574,532.441,49.695
"Puebla","Fuentes de área",70.088,419.447,1.475,17.857
"Puebla","Fuentes móviles carreteros",6.432,522.392,2.952,112.735
"Puebla","Fuentes móviles que no circulan por carretera",5.681,30.447,2.508,143.182
"Puebla","Fuentes de área",19.763,108.856,0.304,3.732
"Puebla","Fuentes móviles carreteros",2.77,167.2,1.034,38.634
"Puebla","Fuentes móviles que no circulan por carretera",0.216,1.174,0.128,3.647
"Puebla","Fuentes de área",37.523,299.991,1.073,13.423
"Puebla","Fuentes móviles carreteros",14.724,944.097,5.818,220.125
"Puebla","Fuentes móviles que no circulan por carretera",0.057,0.308,0.033,0.956
"Puebla","Fuentes de área",59.216,490.902,1.704,13.899
"Puebla","Fuentes móviles carreteros",0.018,10.987,0.042,1.534
"Puebla","Fuentes móviles que no circulan por carretera",0.127,0.688,0.075,2.136
"Puebla","Fuentes de área",52.57,383.785,2.435,15.134
"Puebla","Fuentes móviles carreteros",6.393,435.921,2.629,99.613
"Puebla","Fuentes móviles que no circulan por carretera",0.803,4.016,0.41,23.059
"Puebla","Fuentes fijas",0.507,5.602,0.04,6.669
"Puebla","Fuentes de área",87.21,738.06,2.565,23.831
"Puebla","Fuentes móviles carreteros",2.52,251.638,1.342,52.856
"Puebla","Fuentes móviles que no circulan por carretera",0.096,0.522,0.057,1.622
"Puebla","Fuentes fijas",111.863,170.481,915.886,2210.557
"Puebla","Fuentes de área",103.856,639.473,2.237,25.162
"Puebla","Fuentes móviles carreteros",9.881,793.583,4.348,166.147
"Puebla","Fuentes móviles que no circulan por carretera",1.231,6.682,0.726,20.759
"Puebla","Fuentes de área",94.812,764.134,2.661,22.357
"Puebla","Fuentes móviles carreteros",2.531,178.427,1.069,42.344
"Puebla","Fuentes móviles que no circulan por carretera",0.318,1.729,0.188,5.371
"Puebla","Fuentes de área",46.431,333.161,1.168,10.178
"Puebla","Fuentes móviles carreteros",4.352,523.415,2.58,100.205
"Puebla","Fuentes móviles que no circulan por carretera",0.22,1.196,0.13,3.715
"Puebla","Fuentes de área",20.011,130.591,0.475,4.254
"Puebla","Fuentes móviles carreteros",2.665,386.117,1.851,71.982
"Puebla","Fuentes móviles que no circulan por carretera",0.169,0.915,0.099,2.843
"Puebla","Fuentes fijas",100.768,256.236,534.28,1096.183
"Puebla","Fuentes de área",481.563,3328.264,14.701,543.618
"Puebla","Fuentes móviles carreteros",1214.205,84020.756,518.146,18920.906
"Puebla","Fuentes móviles que no circulan por carretera",3.276,281.039,7.791,144.984
"Puebla","Fuentes fijas",0.709,6.317,0.045,7.52
"Puebla","Fuentes de área",79.236,579.322,2.034,23.694
"Puebla","Fuentes móviles carreteros",27.711,1216.942,8.685,328.926
"Puebla","Fuentes móviles que no circulan por carretera",0.453,2.457,0.267,7.632
"Puebla","Fuentes de área",94.528,783.693,2.726,22.192
"Puebla","Fuentes móviles carreteros",1.982,169.637,0.922,36.37
"Puebla","Fuentes móviles que no circulan por carretera",1.659,7.757,0.531,68.309
"Puebla","Fuentes fijas",26.565,6.34,732.76,68.675
"Puebla","Fuentes de área",12.571,40.912,0.159,5.053
"Puebla","Fuentes móviles carreteros",10.726,485.627,3.443,124.721
"Puebla","Fuentes móviles que no circulan por carretera",61.642,373.665,26.62,758.367
"Puebla","Fuentes de área",30.514,214.262,0.757,9.923
"Puebla","Fuentes móviles carreteros",22.822,1060.706,7.374,280.58
"Puebla","Fuentes móviles que no circulan por carretera",0.171,0.93,0.101,2.888
"Puebla","Fuentes fijas",2.365,6.483,14.953,11.061
"Puebla","Fuentes de área",53.43,352.503,1.388,50.039
"Puebla","Fuentes móviles carreteros",118.759,8602.71,51.393,1858.085
"Puebla","Fuentes móviles que no circulan por carretera",0.075,0.409,0.044,1.269
"Puebla","Fuentes de área",25.963,218.616,0.757,6.17
"Puebla","Fuentes móviles carreteros",0.559,67.79,0.331,12.3
"Puebla","Fuentes móviles que no circulan por carretera",0.034,0.182,0.02,0.565
"Puebla","Fuentes de área",6.317,46.832,0.164,1.401
"Puebla","Fuentes móviles carreteros",0.098,11.755,0.054,2.158
"Puebla","Fuentes móviles que no circulan por carretera",0.029,0.16,0.017,0.497
"Puebla","Fuentes de área",21.576,162.568,0.637,6.082
"Puebla","Fuentes móviles carreteros",1.524,311.432,1.338,50.865
"Puebla","Fuentes móviles que no circulan por carretera",0.131,0.712,0.077,2.213
"Puebla","Fuentes de área",23.041,188.576,0.654,5.285
"Puebla","Fuentes móviles carreteros",0.002,1.291,0.005,0.186
"Puebla","Fuentes móviles que no circulan por carretera",0.071,0.387,0.042,1.203
"Puebla","Fuentes de área",47.016,369.487,1.352,13.673
"Puebla","Fuentes móviles carreteros",5.877,405.305,2.368,90.973
"Puebla","Fuentes móviles que no circulan por carretera",0.55,3.257,0.257,7.335
"Puebla","Fuentes de área",7.779,51.673,0.211,5.109
"Puebla","Fuentes móviles carreteros",13.453,694.761,4.616,169.922
"Puebla","Fuentes móviles que no circulan por carretera",0.052,0.282,0.031,0.875
"Puebla","Fuentes de área",17.47,119.981,0.426,4.074
"Puebla","Fuentes móviles carreteros",2.09,223.938,1.114,42.289
